OUName,OUPath
LKKORP,"DC=LKKORP,DC=local"
Accounts,"OU=LKKORP,DC=LKKORP,DC=local"
Computers,"OU=LKKORP,DC=LKKORP,DC=local"
Groups,"OU=LKKORP,DC=LKKORP,DC=local"
Admins,"OU=Accounts,OU=LKKORP,DC=LKKORP,DC=local"
Service Accounts,"OU=Accounts,OU=LKKORP,DC=LKKORP,DC=local"
Users,"OU=Accounts,OU=LKKORP,DC=LKKORP,DC=local"
Servers,"OU=Computers,OU=LKKORP,DC=LKKORP,DC=local"
VM,"OU=Servers,OU=Computers,OU=LKKORP,DC=LKKORP,DC=local"
Workstations,"OU=Computers,OU=LKKORP,DC=LKKORP,DC=local"
Security Groups,"OU=Groups,OU=LKKORP,DC=LKKORP,DC=local"
